TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-03 03:01:36,1770087696361,tradingpro-backend-nestjs.vercel.app/trading/trades/open,GET,,200,jxskm-1770087680403-fde78d137bd2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,{,prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
2026-02-03 03:01:36,1770087696361,tradingpro-backend-nestjs.vercel.app/trading/trades/open,GET,,200,jxskm-1770087680403-fde78d137bd2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,"[33m[Nest] 4  - [39m02/03/2026, 3:01:36 AM [33m   WARN[39m [38;5;3m[TradingService] [39m[33mCould not sync broker timezone from MT5, using config default[39m",prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
2026-02-03 03:01:36,1770087696361,tradingpro-backend-nestjs.vercel.app/trading/trades/open,GET,,200,jxskm-1770087680403-fde78d137bd2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,"""error"": ""timeout of 30000ms exceeded""",prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
2026-02-03 03:01:36,1770087696362,tradingpro-backend-nestjs.vercel.app/trading/trades/open,GET,,200,jxskm-1770087680403-fde78d137bd2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,},prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
2026-02-03 03:01:20,1770087680403,tradingpro-backend-nestjs.vercel.app/trading/trades/open,GET,,200,jxskm-1770087680403-fde78d137bd2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,16417,iad1,309,2048,,prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,01KGGQ4EQN64MMVHDXXXCNGJC0,YW1xEnBG63zM,5
2026-02-03 03:01:36,1770087696361,tradingpro-backend-nestjs.vercel.app/money-management/status,GET,,200,dkr2x-1770087663643-7c5f46e0291d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,"[31m[Nest] 4  - [39m02/03/2026, 3:01:36 AM [31m  ERROR[39m [38;5;3m[Mt5Service] [39m[31mFailed to connect to MT5: timeout of 30000ms exceeded[39m",prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
2026-02-03 03:01:36,1770087696361,tradingpro-backend-nestjs.vercel.app/money-management/status,GET,,200,dkr2x-1770087663643-7c5f46e0291d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,"[31m[Nest] 4  - [39m02/03/2026, 3:01:36 AM [31m  ERROR[39m [38;5;3m[Mt5Service] [39m[31mObject:[39m",prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
2026-02-03 03:01:36,1770087696361,tradingpro-backend-nestjs.vercel.app/money-management/status,GET,,200,dkr2x-1770087663643-7c5f46e0291d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,{,prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
2026-02-03 03:01:36,1770087696361,tradingpro-backend-nestjs.vercel.app/money-management/status,GET,,200,dkr2x-1770087663643-7c5f46e0291d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,"[33m[Nest] 4  - [39m02/03/2026, 3:01:36 AM [33m   WARN[39m [38;5;3m[TradingService] [39m[33mCould not sync broker timezone from MT5, using config default[39m",prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
2026-02-03 03:01:36,1770087696361,tradingpro-backend-nestjs.vercel.app/money-management/status,GET,,200,dkr2x-1770087663643-7c5f46e0291d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,"""error"": ""timeout of 30000ms exceeded""",prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
2026-02-03 03:01:36,1770087696361,tradingpro-backend-nestjs.vercel.app/money-management/status,GET,,200,dkr2x-1770087663643-7c5f46e0291d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,},prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
